Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
snailglow-schreibtischlampe-in-schneckenform,SNAILGLOW | Schreibtischlampe in Schneckenform,"<h2><strong>Bringe verspielte, magische Stimmung mit buntem Licht in jedes Zimmer</strong></h2>
<p>Erhelle deinen Wohnraum mit einer faszinierenden Verbindung aus Kunst und sanftem, farbenfrohem Licht. Diese außergewöhnliche Lampe verwandelt gewöhnliche Räume in einen magischen Rückzugsort und schafft eine gemütliche Atmosphäre – ideal zum Entspannen, Lesen oder einfach, um ihr verspieltes Design und ihr warmes Umgebungslicht zu genießen.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/0910/7918/0622/files/SNAILGLOW_STAINED_GLASS_SNAIL_LAMP.jpg?v=1764690780"" alt=""""></p>
<h2><strong>Warum du SnailGlow | Buntglaslampe in Schneckenform lieben wirst</strong></h2>
<p>✔ <strong>Lebendiges Licht:</strong> Erzeugt ein farbenfrohes Leuchten, das jeden Raum sofort erhellt und die Atmosphäre verbessert.</p>
<p>✔ <strong>Verspieltes Design:</strong> Die bezaubernde Schneckenform bringt Persönlichkeit und einen einzigartigen künstlerischen Stil in deine Wohndeko.</p>
<p>✔ <strong>Fesselnder Akzent:</strong> Macht sich hervorragend als Blickfang auf Schreibtischen, Regalen oder Nachttischen.</p>
<p>✔ <strong>Beruhigende Atmosphäre:</strong> Das sanfte Licht schafft ein ruhiges, gemütliches Ambiente – ideal zum Entspannen nach langen Tagen.</p>
<p>✔ <strong>Schönes Geschenk:</strong> Ideal für alle, die kreative Beleuchtung oder einzigartige Dekostücke lieben.</p>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0910/7918/0622/files/download_18_be8605c5-3ccc-4e9c-a267-c9bcce83119e.jpg?v=1764603104""></p>
<h2><strong>Spezifikationen</strong></h2>
<ul>
<li><strong>Typ:</strong> Dekorative Lampe</li>
<li><strong>Design:</strong> Schneckenmotiv</li>
<li><strong>Stil:</strong> Buntglas-Optik</li>
<li><strong>Beleuchtung:</strong> Sanftes Licht</li>
<li><strong>Verwendung:</strong> Innendekoration</li>
</ul>",Emma Frankfurt,,,PR3759,true,Title,Default Title,,,,,,,,,0.0,,0,continue,manual,44.95,103.97,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/SNAILGLOW_STAINED_GLASS_SNAIL_LAMP.jpg?v=1787063613,1,,false,,,,,,,,,,,,,,,,,,,,kg,,,active
snailglow-schreibtischlampe-in-schneckenform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/download_18_be8605c5-3ccc-4e9c-a267-c9bcce83119e.jpg?v=1787063612,2,,,,,,,,,,,,,,,,,,,,,,,,,
deepglow-maritime-lampe-mit-tentakelmotiv,DEEPGLOW | Maritime Lampe mit Tentakelmotiv,"<h2><strong>Erhelle deinen Wohnraum mit einem Hauch geheimnisvoller Tiefe</strong></h2>
<p>Hole dir eine faszinierende Unterwasseratmosphäre nach Hause – mit einer Lampe, die begeistert und inspiriert. Ihre künstlerische Tentakelstruktur und das sanfte Leuchten schaffen ein Ambiente, das zugleich ausdrucksstark und beruhigend wirkt: ein beeindruckender Blickfang für jedes Schlafzimmer, Büro oder jede gemütliche Ecke.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/0910/7918/0622/files/DEEPGLOW_NAUTICALTENTACLETABLELAMP.jpg?v=1764751237"" alt=""""></p>
<h2><strong>Warum du die DeepGlow Lampe mit maritimen Tentakeln lieben wirst</strong></h2>
<p>✔ <strong>Beeindruckendes, vom Ozean inspiriertes Design:</strong> Setzt einen maritim-künstlerischen Akzent, der die Ästhetik jedes Zimmers sofort aufwertet.</p>
<p>✔ <strong>Warmes Umgebungslicht:</strong> Erzeugt ein beruhigendes Leuchten – ideal zum Entspannen, Lesen oder Ausruhen am Abend.</p>
<p>✔ <strong>Einzigartiges Dekoelement:</strong> Funktioniert als Leuchte und zugleich als fesselnder dekorativer Blickfang.</p>
<p>✔ <strong>Gesprächsstoff garantiert:</strong> Ihre kreative Tentakelform zieht die Blicke auf sich und weckt die Neugier deiner Gäste.</p>
<p>✔ <strong>Die perfekte Geschenkwahl:</strong> Ideal für Ozeanliebhaber, Fantasy-Fans und alle, die außergewöhnliche Dekoration schätzen.</p>
<h2><strong>Spezifikationen</strong></h2>
<ul>
<li><strong>Typ:</strong> Tischlampe</li>
<li><strong>Design:</strong> Tentakel-Stil</li>
<li><strong>Beleuchtung:</strong> Warmes Leuchten</li>
<li><strong>Thema:</strong> Maritime Dekoration</li>
<li><strong>Verwendung:</strong> Innenbereich</li>
</ul>",Emma Frankfurt,,,PR3759,true,Title,Default Title,,,,,,,,,0.0,,0,continue,manual,44.95,103.97,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/DEEPGLOW_NAUTICALTENTACLETABLELAMP.jpg?v=1787063611,1,,false,,,,,,,,,,,,,,,,,,,,kg,,,active
deepglow-maritime-lampe-mit-tentakelmotiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/download_16_20c2bef4-d167-4184-a21d-703ceed0b8ff.jpg?v=1787063610,2,,,,,,,,,,,,,,,,,,,,,,,,,
pinkglow-rosa-tischlampe-mit-sanftem-lichteffekt,PINKGLOW | Rosa Tischlampe mit sanftem Lichteffekt,"<h2><strong>Bringe einen Hauch magisches Licht in jedes Zimmer</strong></h2>
<p>Schaffe eine bezaubernde Atmosphäre mit einem Licht, das Verspieltheit, Magie und warme Beleuchtung vereint. Ideal für Schlafzimmer, Büros und gemütliche Ecken – es verwandelt gewöhnliche Räume in einen beruhigenden Rückzugsort und setzt zugleich ein schönes dekoratives Element, das Fantasie und Behaglichkeit weckt.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/0910/7918/0622/files/PINKGLOW_ENCHANTEDMUSHROOMLIGHT.jpg?v=1764751519"" alt=""""></p>
<h2><strong>Warum du die bezaubernde PinkGlow Lampe lieben wirst</strong></h2>
<p>✔ <strong>Sanftes Umgebungslicht:</strong> Erzeugt ein beruhigendes Leuchten, das sofort für eine ruhige und behagliche Stimmung sorgt.</p>
<p>✔ <strong>Verspieltes Design:</strong> Die von Pilzen inspirierte Form bringt eine verspielte, bezaubernde Note und verschönert deine Wohndeko.</p>
<p>✔ <strong>Kompakt und vielseitig:</strong> Passt perfekt auf Nachttische, Regale oder Schreibtische, ohne viel Platz zu beanspruchen.</p>
<p>✔ <strong>Stimmungsvolles Licht:</strong> Die sanfte Beleuchtung hilft, Stress abzubauen, und schafft eine beruhigende Atmosphäre.</p>
<p>✔ <strong>Magische Geschenkidee:</strong> Ein niedliches, durchdachtes Geschenk für alle, die einzigartige Dekostücke lieben.</p>
<h2><strong>Spezifikationen</strong></h2>
<ul>
<li><strong>Typ:</strong> Dekorative Leuchte</li>
<li><strong>Design:</strong> Pilzform</li>
<li><strong>Stil:</strong> Sanftes Licht</li>
<li><strong>Beleuchtung:</strong> Warmes Ambiente</li>
<li><strong>Verwendung:</strong> Innendekoration</li>
</ul>",Emma Frankfurt,,,PR3759,true,Title,Default Title,,,,,,,,,0.0,,0,continue,manual,39.95,103.97,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/PINKGLOW_ENCHANTEDMUSHROOMLIGHT.jpg?v=1787063611,1,,false,,,,,,,,,,,,,,,,,,,,kg,,,active
pinkglow-rosa-tischlampe-mit-sanftem-lichteffekt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/download_10_f7ee6ec2-d9a9-4914-96fe-2ef9c374a36a.jpg?v=1787063611,2,,,,,,,,,,,,,,,,,,,,,,,,,
colorshroom-magische-lampe-im-pilzdesign,COLORSHROOM | Magische Lampe im Pilzdesign,"<h2><strong>Bringe ein magisches Leuchten in jedes Zimmer</strong></h2>
<p>Erhelle deinen Wohnraum mit einer verspielten Note, die faszinierende Farben und sanftes Licht verbindet. Diese bezaubernde Lampe in Pilzform schafft eine verträumte, anregende Atmosphäre – ideal für Schlafzimmer, Spielbereiche, Wohnzimmer oder kreative Räume. So werden gewöhnliche Zimmer im Handumdrehen zu lebendigen, gemütlichen Rückzugsorten.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/0910/7918/0622/files/COLORSHROOM_ENCHANTEDRAINBOWMUSHROOM.jpg?v=1764751010"" alt=""""></p>
<h2><strong>Warum du den magischen COLORSHROOM Pilz lieben wirst</strong></h2>
<p>✔ <strong>Buntes Leuchten:</strong> Erzeugt ein strahlendes Licht in Regenbogenfarben, das die Stimmung hebt und jeden Raum magisch wirken lässt.</p>
<p>✔ <strong>Verspieltes Design:</strong> Die von Pilzen inspirierte Form bringt spielerischen Charme und dient als außergewöhnliches Dekoelement.</p>
<p>✔ <strong>Behagliche Beleuchtung:</strong> Das sanfte Licht schafft eine warme, entspannende Atmosphäre – ideal zum Ausruhen.</p>
<p>✔ <strong>Perfekter Akzent:</strong> Wertet Tische, Nachttische oder Regale mit einer einzigartigen und attraktiven Dekoration auf.</p>
<p>✔ <strong>Geschenkfertig:</strong> Eine schöne Überraschung für alle, die kreative und farbenfrohe Dekoelemente für ihr Zuhause lieben.</p>
<h2><strong>Spezifikationen</strong></h2>
<ul>
<li><strong>Typ:</strong> Akzentlampe</li>
<li><strong>Design:</strong> Pilzform</li>
<li><strong>Stil:</strong> Regenbogenleuchten</li>
<li><strong>Beleuchtung:</strong> Sanftes Licht</li>
<li><strong>Verwendung:</strong> Innendekoration</li>
</ul>",Emma Frankfurt,,,PR3759,true,Title,Default Title,,,,,,,,,0.0,,0,continue,manual,44.95,103.97,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/COLORSHROOM_ENCHANTEDRAINBOWMUSHROOM.jpg?v=1787063611,1,,false,,,,,,,,,,,,,,,,,,,,kg,,,active
colorshroom-magische-lampe-im-pilzdesign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/download_13_67d1ec02-c1ab-4541-9bc0-7694c5f0318d.jpg?v=1787063610,2,,,,,,,,,,,,,,,,,,,,,,,,,
gardenluxe-bunte-florale-tischlampe,GARDENLUXE | Bunte florale Tischlampe,"<h2><strong>Bringe einen verspielten, warmen Farbtupfer in jedes Zimmer</strong></h2>
<p>Erhelle deinen Wohnraum mit einer bezaubernden Lampe, die florale Kunst und ein fesselndes, von Pilzen inspiriertes Design verbindet. Ihr farbenfrohes Licht verwandelt Schlafzimmer, Wohnzimmer und gemütliche Ecken in angenehme, aufmunternde Räume und setzt zugleich einen einzigartigen dekorativen Akzent, der in jedes Zuhause passt.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/0910/7918/0622/files/GARDENLUXE_COLORFULFLORALMUSHROOMLAMP.jpg?v=1764751288"" alt=""""></p>
<h2><strong>Warum du die GardenLuxe Lampe mit floralem Pilz lieben wirst</strong></h2>
<p>✔ <strong>Lebendiges Ambiente:</strong> Erzeugt ein farbenfrohes, beruhigendes Licht, das die Entspannung fördert und die Stimmung im Zimmer hebt.</p>
<p>✔ <strong>Fesselndes Design:</strong> Die von Pilzen inspirierten Details verleihen deiner Einrichtung eine verspielte und zugleich elegante Note.</p>
<p>✔ <strong>Blickfang garantiert:</strong> Sie wird sofort zum Mittelpunkt, sorgt für Komplimente und bringt Persönlichkeit in jeden Raum.</p>
<p>✔ <strong>Beruhigende Beleuchtung:</strong> Das sanfte Licht hilft, Stress abzubauen, und fördert eine ruhige, behagliche Atmosphäre.</p>
<p>✔ <strong>Durchdachte Geschenkidee:</strong> Ideal für alle, die von der Natur inspirierte Dekoration und außergewöhnliche Leuchten lieben.</p>
<h2><strong>Spezifikationen</strong></h2>
<ul>
<li><strong>Typ:</strong> Dekorative Lampe</li>
<li><strong>Design:</strong> Floraler Pilz</li>
<li><strong>Stil:</strong> Buntes Licht</li>
<li><strong>Beleuchtung:</strong> Sanftes Licht</li>
<li><strong>Verwendung:</strong> Innendekoration</li>
</ul>",Emma Frankfurt,,,PR3759,true,Title,Default Title,,,,,,,,,0.0,,0,continue,manual,44.95,103.97,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/GARDENLUXE_COLORFULFLORALMUSHROOMLAMP.jpg?v=1787063611,1,,false,,,,,,,,,,,,,,,,,,,,kg,,,active
gardenluxe-bunte-florale-tischlampe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/download_17_ecc74036-e394-4db8-8d83-9b057f42659a.jpg?v=1787063610,2,,,,,,,,,,,,,,,,,,,,,,,,,
