Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
joan-handgefertigte-weiche-reisetasche,Joan | Handgefertigte weiche Reisetasche,"<h3>MÜHELOSER STIL FÜR DEINE NÄCHSTE AUSZEIT.</h3>
<p>Verlasse das Haus mit allem ordentlich verstaut und griffbereit für deine Kurzreise. Diese geräumige Reisetasche verleiht deinem Reise-Look eine weiche, bezaubernde Note und hält deine Essentials für die Übernachtung perfekt organisiert.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/1032/0176/7756/files/4_e4415bca-b3bf-4d28-b352-6e8b3c0b046c.png?v=1775438845"" alt=""""></p>
<p><strong>✔ CLEVERE UND ORGANISIERTE AUFBEWAHRUNG</strong></p>
<p>Mehrere Fächer und ein sicherer Reißverschluss halten alles, was du unterwegs brauchst, zuverlässig an seinem Platz. So genießt du dein Wochenende, ohne nach Schlüssel, Handy oder Reiseunterlagen suchen zu müssen.</p>
<p><strong>✔ WEICHES, GESTEPPTES DESIGN</strong></p>
<p>Die elegante Steppnaht gibt der Tasche eine weiche, stilvolle Textur. Sie ist leicht und bequem zu tragen – zum Auto oder ins Ferienhaus – und setzt ein einzigartiges, edles Detail in deiner Reisegarderobe.</p>
<p><strong>✔ GEMACHT FÜR WOCHENENDTRIPS</strong></p>
<p>Die robuste, zweilagige Verarbeitung gibt dir zusätzliche Widerstandsfähigkeit auf Reisen. Ob es zum Kurzurlaub ans Meer geht oder für ein paar Tage zur Familie – deine Sachen bleiben schön und sicher verstaut.</p>
<p><strong>✔ PFLEGELEICHTER KOMFORT</strong></p>
<p>Das maschinenwaschbare Design macht die Reinigung nach der Reise einfach und stressfrei. So bleibt deine Reisetasche frisch und bereit für dein nächstes Abenteuer – ganz ohne zusätzlichen Aufwand.</p>
<p><strong>Mach dich bereit für deine nächste Auszeit – mit einer Tasche, die dich auf jedem Kilometer begleitet.</strong></p>",Emma Frankfurt,,Reisetasche,,true,Größe,"Querformat 19,09 in L × 9,06 in B × 9,06 in H (48,5 × 23 × 23 cm)",,,,,,,,,0.0,,0,continue,manual,44.95,139.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/4_e4415bca-b3bf-4d28-b352-6e8b3c0b046c.png?v=1787062926,1,,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/4_e4415bca-b3bf-4d28-b352-6e8b3c0b046c.png?v=1787062926,kg,,,active
grace-handgefertigte-weiche-reisetasche,Grace | Handgefertigte weiche Reisetasche,"<h3>MÜHELOSER STIL FÜR DEINE NÄCHSTE AUSZEIT.</h3>
<p>Verlasse das Haus mit allem ordentlich verstaut und griffbereit für deine Kurzreise. Diese geräumige Reisetasche verleiht deinem Reise-Look eine weiche, bezaubernde Note und hält deine Essentials für die Übernachtung perfekt organisiert.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/1032/0176/7756/files/1_45271014-2988-4563-8b7c-7d03029d5987.png?v=1775447426"" alt=""""></p>
<p><strong>✔ CLEVERE UND ORGANISIERTE AUFBEWAHRUNG</strong></p>
<p>Mehrere Fächer und ein sicherer Reißverschluss halten alles, was du unterwegs brauchst, zuverlässig an seinem Platz. So genießt du dein Wochenende, ohne nach Schlüssel, Handy oder Reiseunterlagen suchen zu müssen.</p>
<p><strong>✔ WEICHES, GESTEPPTES DESIGN</strong></p>
<p>Die elegante Steppnaht gibt der Tasche eine weiche, stilvolle Textur. Sie ist leicht und bequem zu tragen – zum Auto oder ins Ferienhaus – und setzt ein einzigartiges, edles Detail in deiner Reisegarderobe.</p>
<p><strong>✔ GEMACHT FÜR WOCHENENDTRIPS</strong></p>
<p>Die robuste, zweilagige Verarbeitung gibt dir zusätzliche Widerstandsfähigkeit auf Reisen. Ob es zum Kurzurlaub ans Meer geht oder für ein paar Tage zur Familie – deine Sachen bleiben schön und sicher verstaut.</p>
<p><strong>✔ PFLEGELEICHTER KOMFORT</strong></p>
<p>Das maschinenwaschbare Design macht die Reinigung nach der Reise einfach und stressfrei. So bleibt deine Reisetasche frisch und bereit für dein nächstes Abenteuer – ganz ohne zusätzlichen Aufwand.</p>
<p><strong>Mach dich bereit für deine nächste Auszeit – mit einer Tasche, die dich auf jedem Kilometer begleitet.</strong></p>",Emma Frankfurt,,Reisetasche,,true,Größe,Querformat 18 in L × 9 in B × 9 in H (46 × 23 × 23 cm),,,,,,,,,0.0,,0,continue,manual,44.95,139.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/1_d9666cc4-7a52-470e-a119-fa66587e5ab1.png?v=1787062927,1,,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/1_d9666cc4-7a52-470e-a119-fa66587e5ab1.png?v=1787062927,kg,,,active
grace-handgefertigte-weiche-reisetasche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/1_45271014-2988-4563-8b7c-7d03029d5987.png?v=1787062926,2,,,,,,,,,,,,,,,,,,,,,,,,,
elaine-handgefertigte-weiche-reisetasche,Elaine | Handgefertigte weiche Reisetasche,"<h3>MÜHELOSER STIL FÜR DEINE NÄCHSTE AUSZEIT.</h3>
<p>Verlasse das Haus mit allem ordentlich verstaut und griffbereit für deine Kurzreise. Diese geräumige Reisetasche verleiht deinem Reise-Look eine weiche, bezaubernde Note und hält deine Essentials für die Übernachtung perfekt organisiert.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/1032/0176/7756/files/2_1a6ef307-1505-46a8-a84c-ef8c8c00c258.png?v=1775449180"" alt=""""></p>
<p><strong>✔ CLEVERE UND ORGANISIERTE AUFBEWAHRUNG</strong></p>
<p>Mehrere Fächer und ein sicherer Reißverschluss halten alles, was du unterwegs brauchst, zuverlässig an seinem Platz. So genießt du dein Wochenende, ohne nach Schlüssel, Handy oder Reiseunterlagen suchen zu müssen.</p>
<p><strong>✔ WEICHES, GESTEPPTES DESIGN</strong></p>
<p>Die elegante Steppnaht gibt der Tasche eine weiche, stilvolle Textur. Sie ist leicht und bequem zu tragen – zum Auto oder ins Ferienhaus – und setzt ein einzigartiges, edles Detail in deiner Reisegarderobe.</p>
<p><strong>✔ GEMACHT FÜR WOCHENENDTRIPS</strong></p>
<p>Die robuste, zweilagige Verarbeitung gibt dir zusätzliche Widerstandsfähigkeit auf Reisen. Ob es zum Kurzurlaub ans Meer geht oder für ein paar Tage zur Familie – deine Sachen bleiben schön und sicher verstaut.</p>
<p><strong>✔ PFLEGELEICHTER KOMFORT</strong></p>
<p>Das maschinenwaschbare Design macht die Reinigung nach der Reise einfach und stressfrei. So bleibt deine Reisetasche frisch und bereit für dein nächstes Abenteuer – ganz ohne zusätzlichen Aufwand.</p>
<p><strong>Mach dich bereit für deine nächste Auszeit – mit einer Tasche, die dich auf jedem Kilometer begleitet.</strong></p>",Emma Frankfurt,,Reisetasche,,true,Größe,Querformat 18 in L × 9 in B × 9 in H (46 × 23 × 23 cm),,,,,,,,,0.0,,0,continue,manual,44.95,139.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/2_c840a932-7465-4920-ba91-0ed89ac38d94.png?v=1787062927,1,,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/2_c840a932-7465-4920-ba91-0ed89ac38d94.png?v=1787062927,kg,,,active
elaine-handgefertigte-weiche-reisetasche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/2_1a6ef307-1505-46a8-a84c-ef8c8c00c258.png?v=1787062927,2,,,,,,,,,,,,,,,,,,,,,,,,,
roxanne-handgefertigte-weiche-reisetasche,Roxanne | Handgefertigte weiche Reisetasche,"<h3>MÜHELOSER STIL FÜR DEINE NÄCHSTE AUSZEIT.</h3>
<p>Verlasse das Haus mit allem ordentlich verstaut und griffbereit für deine Kurzreise. Diese geräumige Reisetasche verleiht deinem Reise-Look eine weiche, bezaubernde Note und hält deine Essentials für die Übernachtung perfekt organisiert.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/1032/0176/7756/files/29_36e189ad-50ff-4dca-a77a-9d3f626f183d.png?v=1775446292"" alt=""""></p>
<p><strong>✔ CLEVERE UND ORGANISIERTE AUFBEWAHRUNG</strong></p>
<p>Mehrere Fächer und ein sicherer Reißverschluss halten alles, was du unterwegs brauchst, zuverlässig an seinem Platz. So genießt du dein Wochenende, ohne nach Schlüssel, Handy oder Reiseunterlagen suchen zu müssen.</p>
<p><strong>✔ WEICHES, GESTEPPTES DESIGN</strong></p>
<p>Die elegante Steppnaht gibt der Tasche eine weiche, stilvolle Textur. Sie ist leicht und bequem zu tragen – zum Auto oder ins Ferienhaus – und setzt ein einzigartiges, edles Detail in deiner Reisegarderobe.</p>
<p><strong>✔ GEMACHT FÜR WOCHENENDTRIPS</strong></p>
<p>Die robuste, zweilagige Verarbeitung gibt dir zusätzliche Widerstandsfähigkeit auf Reisen. Ob es zum Kurzurlaub ans Meer geht oder für ein paar Tage zur Familie – deine Sachen bleiben schön und sicher verstaut.</p>
<p><strong>✔ PFLEGELEICHTER KOMFORT</strong></p>
<p>Das maschinenwaschbare Design macht die Reinigung nach der Reise einfach und stressfrei. So bleibt deine Reisetasche frisch und bereit für dein nächstes Abenteuer – ganz ohne zusätzlichen Aufwand.</p>
<p><strong>Mach dich bereit für deine nächste Auszeit – mit einer Tasche, die dich auf jedem Kilometer begleitet.</strong></p>",Emma Frankfurt,,Reisetasche,,true,Größe,"Querformat 19,09 in L × 9,06 in B × 9,06 in H (48,5 × 23 × 23 cm)",,,,,,,,,0.0,,0,continue,manual,44.95,139.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/29_3bf522d9-8268-4b2b-88e0-72c6b972199e.png?v=1787062927,1,,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/29_3bf522d9-8268-4b2b-88e0-72c6b972199e.png?v=1787062927,kg,,,active
roxanne-handgefertigte-weiche-reisetasche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/29_36e189ad-50ff-4dca-a77a-9d3f626f183d.png?v=1787062927,2,,,,,,,,,,,,,,,,,,,,,,,,,
courtney-handgefertigte-weiche-reisetasche,Courtney | Handgefertigte weiche Reisetasche,"<h3>MÜHELOSER STIL FÜR DEINE NÄCHSTE AUSZEIT.</h3>
<p>Verlasse das Haus mit allem ordentlich verstaut und griffbereit für deine Kurzreise. Diese geräumige Reisetasche verleiht deinem Reise-Look eine weiche, bezaubernde Note und hält deine Essentials für die Übernachtung perfekt organisiert.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/1032/0176/7756/files/17_4d7e564f-7dee-4e9b-aa4b-15eb00588447.png?v=1775442150"" alt=""""></p>
<p><strong>✔ CLEVERE UND ORGANISIERTE AUFBEWAHRUNG</strong></p>
<p>Mehrere Fächer und ein sicherer Reißverschluss halten alles, was du unterwegs brauchst, zuverlässig an seinem Platz. So genießt du dein Wochenende, ohne nach Schlüssel, Handy oder Reiseunterlagen suchen zu müssen.</p>
<p><strong>✔ WEICHES, GESTEPPTES DESIGN</strong></p>
<p>Die elegante Steppnaht gibt der Tasche eine weiche, stilvolle Textur. Sie ist leicht und bequem zu tragen – zum Auto oder ins Ferienhaus – und setzt ein einzigartiges, edles Detail in deiner Reisegarderobe.</p>
<p><strong>✔ GEMACHT FÜR WOCHENENDTRIPS</strong></p>
<p>Die robuste, zweilagige Verarbeitung gibt dir zusätzliche Widerstandsfähigkeit auf Reisen. Ob es zum Kurzurlaub ans Meer geht oder für ein paar Tage zur Familie – deine Sachen bleiben schön und sicher verstaut.</p>
<p><strong>✔ PFLEGELEICHTER KOMFORT</strong></p>
<p>Das maschinenwaschbare Design macht die Reinigung nach der Reise einfach und stressfrei. So bleibt deine Reisetasche frisch und bereit für dein nächstes Abenteuer – ganz ohne zusätzlichen Aufwand.</p>
<p><strong>Mach dich bereit für deine nächste Auszeit – mit einer Tasche, die dich auf jedem Kilometer begleitet.</strong></p>",Emma Frankfurt,,Reisetasche,,true,Größe,"Querformat 19,09 in L × 9,06 in B × 9,06 in H (48,5 × 23 × 23 cm)",,,,,,,,,0.0,,0,continue,manual,44.95,139.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/17_80a19817-8e20-4b3d-8eda-d23f47781c9b.png?v=1787062928,1,,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/17_80a19817-8e20-4b3d-8eda-d23f47781c9b.png?v=1787062928,kg,,,active
courtney-handgefertigte-weiche-reisetasche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/17_4d7e564f-7dee-4e9b-aa4b-15eb00588447.png?v=1787062927,2,,,,,,,,,,,,,,,,,,,,,,,,,
adelaida-handgefertigte-weiche-reisetasche,Adelaida | Handgefertigte weiche Reisetasche,"<h3>MÜHELOSER STIL FÜR DEINE NÄCHSTE AUSZEIT.</h3>
<p>Verlasse das Haus mit allem ordentlich verstaut und griffbereit für deine Kurzreise. Diese geräumige Reisetasche verleiht deinem Reise-Look eine weiche, bezaubernde Note und hält deine Essentials für die Übernachtung perfekt organisiert.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/1032/0176/7756/files/M1.png?v=1775539569"" alt=""""></p>
<p><strong>✔ CLEVERE UND ORGANISIERTE AUFBEWAHRUNG</strong></p>
<p>Mehrere Fächer und ein sicherer Reißverschluss halten alles, was du unterwegs brauchst, zuverlässig an seinem Platz. So genießt du dein Wochenende, ohne nach Schlüssel, Handy oder Reiseunterlagen suchen zu müssen.</p>
<p><strong>✔ WEICHES, GESTEPPTES DESIGN</strong></p>
<p>Die elegante Steppnaht gibt der Tasche eine weiche, stilvolle Textur. Sie ist leicht und bequem zu tragen – zum Auto oder ins Ferienhaus – und setzt ein einzigartiges, edles Detail in deiner Reisegarderobe.</p>
<p><strong>✔ GEMACHT FÜR WOCHENENDTRIPS</strong></p>
<p>Die robuste, zweilagige Verarbeitung gibt dir zusätzliche Widerstandsfähigkeit auf Reisen. Ob es zum Kurzurlaub ans Meer geht oder für ein paar Tage zur Familie – deine Sachen bleiben schön und sicher verstaut.</p>
<p><strong>✔ PFLEGELEICHTER KOMFORT</strong></p>
<p>Das maschinenwaschbare Design macht die Reinigung nach der Reise einfach und stressfrei. So bleibt deine Reisetasche frisch und bereit für dein nächstes Abenteuer – ganz ohne zusätzlichen Aufwand.</p>
<p><strong>Mach dich bereit für deine nächste Auszeit – mit einer Tasche, die dich auf jedem Kilometer begleitet.</strong></p>",Emma Frankfurt,,Reisetasche,,true,Größe,"Klein – Querformat 15,94 in L × 8,07 in B × 8,07 in H (40,5 × 20,5 × 20,5 cm)",,,,,,,,,0.0,,0,continue,manual,44.95,139.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/M1.png?v=1787062927,1,,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/M1.png?v=1787062927,kg,,,active
