Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
tiffalight-buntglaslampe-mit-schmetterling,TIFFALIGHT | Buntglaslampe mit Schmetterling,"<h2><strong>Faszinierendes Leuchten, das Kunst und Licht vereint</strong></h2>
<p>Verwandle jedes Zimmer mit einer faszinierenden Lampe, die künstlerischen Charme und warmes Licht verbindet. Dieses wunderschön gestaltete Stück bereichert dein Interieur mit lebendigen Farben und sanfter Beleuchtung und schafft eine behagliche, einladende Atmosphäre – ideal für Schlafzimmer, Wohnzimmer oder das eigene Büro.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/0910/7918/0622/files/TIFFALIGHT_STAINED_GLASS_BUTTERFLY_LAMP.jpg?v=1764686637"" alt=""""></p>
<h2><strong>Warum du die TIFFALIGHT Buntglaslampe mit Schmetterling lieben wirst</strong></h2>
<p>✔ <strong>Künstlerisch brillant</strong>: Ein beeindruckendes Schmetterlingsdesign, das Farbe, Eleganz und Persönlichkeit in jedes Zimmer bringt.</p>
<p>✔ <strong>Warmes, einladendes Leuchten</strong>: Gibt ein beruhigendes Licht ab, das sofort eine ruhige und romantische Atmosphäre schafft.</p>
<p>✔ <strong>Beeindruckende Dekoration</strong>: Funktioniert als Lampe und zugleich als dekorativer Blickfang, der mühelos Aufmerksamkeit auf sich zieht.</p>
<p>✔ <strong>Stimmungsvolles Licht</strong>: Die sanfte Beleuchtung hilft, Stress abzubauen, und fördert eine ruhige Atmosphäre.</p>
<p>✔ <strong>Die perfekte Geschenkwahl</strong>: Ein durchdachtes und faszinierendes Geschenk für alle, die einzigartige und schöne Dekoration lieben.</p>
<h2><strong>Spezifikationen</strong></h2>
<ul>
<li><strong>Typ:</strong> Dekorative Lampe</li>
<li><strong>Design:</strong> Schmetterlingsmotiv</li>
<li><strong>Stil:</strong> Buntglas</li>
<li><strong>Beleuchtung:</strong> Sanftes Leuchten</li>
<li><strong>Verwendung:</strong> Innendekoration</li>
</ul>",Emma Frankfurt,,Handgefertigte Schmetterlingslampen,PR3760,true,Title,Default Title,,,,,,,,,0.0,,0,continue,manual,99.95,203.95,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/TIFFALIGHT_STAINED_GLASS_BUTTERFLY_LAMP.jpg?v=1787063439,1,,false,,,,,,,,,,,,,,,,,,,,kg,,,active
solelia-vintage-glaslampe-mit-sonnenblume,SOLELIA | Vintage-Glaslampe mit Sonnenblume,"<h2><strong>Suchst du eine Lampe, die deine Seele erhellt?</strong></h2>
<p>Bring Wärme, Farbe und Magie in dein Zuhause – mit der Vintage-Lampe Solelia mit Sonnenblume. Ihr leuchtendes, von der Sonnenblume inspiriertes Glasdesign sorgt für ein behagliches, fröhliches Licht und verwandelt jedes Zimmer in einen gemütlichen Rückzugsort. Ideal für Schlafzimmer, Cafés oder Leseecken – sie bringt zeitlose Eleganz in dein Interieur.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/0910/7918/0622/files/11_2a840000-9282-468d-97c1-def81ad05947.png?v=1762948902"" alt=""""></p>
<h2><strong>Warum du dich in die Vintage-Lampe Solelia mit Sonnenblume verlieben wirst</strong></h2>
<p>✔ <strong>Warmes, strahlendes Licht</strong>: Gibt ein sanftes, goldenes Licht ab, das die Behaglichkeit jeder romantischen Umgebung unterstreicht.</p>
<p>✔ <strong>Magisches Design</strong>: Das Glas mit Sonnenblumenmotiv setzt einen künstlerischen Akzent und bringt Vintage-Schönheit in deinen Wohnraum.</p>
<p>✔ <strong>Vielseitig platzierbar</strong>: Ideal für Schlafzimmer, Wohnzimmer oder dekorative Ecken, die sanftes Licht brauchen.</p>
<p>✔ <strong>Langlebige Verarbeitung</strong>: Mit stabilem Sockel und hochwertigem Glas gefertigt – für dauerhafte Qualität und Standfestigkeit.</p>
<p>✔ <strong>Positives Ambiente</strong>: Schafft eine positive, einladende Stimmung – ideal zum Entspannen oder für gute Gespräche.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/0910/7918/0622/files/36_61e3c891-1f20-4a30-9672-13b3102788ad.png?v=1762948902"" alt=""""></p>
<h2><strong>Spezifikationen</strong></h2>
<ul>
<li><strong>Material:</strong> Hochwertige Glasmischung</li>
<li><strong>Typ:</strong> Akzent-Tischlampe</li>
<li><strong>Stil:</strong> Florales Vintage-Design</li>
<li><strong>Beleuchtung:</strong> Warmes gelbes Licht</li>
</ul>",Emma Frankfurt,,,LAMPS,true,Title,Default Title,,,,,,,,,0.0,,0,continue,manual,99.95,244.95,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/11_2a840000-9282-468d-97c1-def81ad05947.png?v=1787063185,1,,false,,,,,,,,,,,,,,,,,,,,kg,,,active
solelia-vintage-glaslampe-mit-sonnenblume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/69_632b0d66-4a7c-417e-b977-09d2b7435c15.png?v=1787063185,2,,,,,,,,,,,,,,,,,,,,,,,,,
solelia-vintage-glaslampe-mit-sonnenblume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/36_61e3c891-1f20-4a30-9672-13b3102788ad.png?v=1787063186,3,,,,,,,,,,,,,,,,,,,,,,,,,
azuria-luxus-glaslampe-in-blau,AZURIA | Luxus-Glaslampe in Blau,"<h2><strong>Möchtest du einen Hauch Luxus und Ruhe hinzufügen?</strong></h2>
<p>Erhelle dein Zuhause mit der stillen Schönheit der Azuria Luxus-Glaslampe in Blau. Ihr beeindruckendes blaues Glasdesign fängt das Licht auf bezaubernde Weise ein und erzeugt ein entspannendes, edles Leuchten. Ideal für Schlafzimmer, Wohnzimmer oder Büros – Azuria verbindet Kunst mit moderner Eleganz und wertet jeden Raum auf.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/0910/7918/0622/files/49_178c0d6d-2862-4959-a6c2-23911c4de0d5.png?v=1762948902"" alt=""""></p>
<h2><strong>Warum du die Azuria Luxus-Glaslampe in Blau lieben wirst</strong></h2>
<p>✔ <strong>Elegantes blaues Leuchten</strong>: Bringt eine ruhige, luxuriöse Note in deine Wohndekoration.</p>
<p>✔ <strong>Künstlerisches Design</strong>: Der wunderschön gearbeitete Glassockel reflektiert das Licht mit feiner Raffinesse.</p>
<p>✔ <strong>Passt überall</strong>: Ergänzt moderne wie klassische Einrichtungsstile mühelos.</p>
<p>✔ <strong>Langlebige Qualität</strong>: Aus hochwertigen Materialien gefertigt – für dauerhaften Glanz und Widerstandsfähigkeit.</p>
<p>✔ <strong>Entspannende Stimmung</strong>: Schafft eine beruhigende, einladende Atmosphäre, ideal zum Entspannen.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/0910/7918/0622/files/43_d8c07861-0af0-4cea-978b-69deaa6cda35.png?v=1762948901"" alt=""""></p>
<h2><strong>Spezifikationen</strong></h2>
<ul>
<li><strong>Material:</strong> Hochwertige Glasmischung</li>
<li><strong>Typ:</strong> Dekorative Akzentlampe</li>
<li><strong>Stil:</strong> Moderner Luxus</li>
<li><strong>Lichtfarbe:</strong> Sanftes blaues Leuchten</li>
</ul>",Emma Frankfurt,,,LAMPS,true,Title,Default Title,,,,,,,,,0.0,,0,continue,manual,99.95,244.95,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/21_11fadf3a-d6f1-49c4-bfb1-f22bb47644c0.png?v=1787063185,1,,false,,,,,,,,,,,,,,,,,,,,kg,,,active
azuria-luxus-glaslampe-in-blau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/43_d8c07861-0af0-4cea-978b-69deaa6cda35.png?v=1787063185,2,,,,,,,,,,,,,,,,,,,,,,,,,
azuria-luxus-glaslampe-in-blau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/49_178c0d6d-2862-4959-a6c2-23911c4de0d5.png?v=1787063185,3,,,,,,,,,,,,,,,,,,,,,,,,,
solina-faszinierende-led-tischlampe,SOLINA | Faszinierende LED-Tischlampe,"<h2><strong>Bereit, deinen Wohnraum schön zu erhellen?</strong></h2>
<p>Erhelle deine Umgebung mit dem eleganten Charme der faszinierenden LED-Tischlampe Solina. Ihr modernes, bezauberndes Design verschönert jedes Zimmer – vom Büro bis zum Nachttisch. Mit sanftem LED-Licht und künstlerischer Verarbeitung verbindet Solina Praktisches mit ästhetischem Leuchten und macht alltägliche Momente behaglich und stilvoll.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/0910/7918/0622/files/37_183ad129-49b4-4366-a1d0-0fd653686c71.png?v=1762948905"" alt="""" style=""display: block; margin-left: auto; margin-right: auto;""></p>
<h2><strong>Warum du die faszinierende LED-Tischlampe Solina lieben wirst</strong></h2>
<p>✔ <strong>Elegantes Ambiente</strong>: Bringt Wärme und Raffinesse in dein Büro, deine Leseecke oder dein Schlafzimmer.</p>
<p>✔ <strong>Sanftes LED-Licht</strong>: Ein weiches, augenfreundliches Licht – ideal zum Entspannen oder Konzentrieren.</p>
<p>✔ <strong>Kompakt &amp; funktional</strong>: Die perfekte Größe für Schreibtische, Beistelltische oder dekorative Arrangements.</p>
<p>✔ <strong>Solides Design</strong>: Aus hochwertigen Materialien gefertigt – für Langlebigkeit und dauerhaften Gebrauch.</p>
<p>✔ <strong>Universeller Stil</strong>: Fügt sich mühelos in moderne, klassische und minimalistische Interieurs ein.</p>
<p><img src=""https://cdn.shopify.com/s/files/1/0910/7918/0622/files/63.png?v=1762948905"" alt=""""></p>
<h2><strong>Spezifikationen</strong></h2>
<ul>
<li><strong>Material:</strong> Hochwertiges Glas und Metallmischung</li>
<li><strong>Typ:</strong> LED-Tischlampe</li>
<li><strong>Stil:</strong> Moderne Eleganz</li>
<li><strong>Lichtfarbe:</strong> Sanftes warmes Licht</li>
</ul>",Emma Frankfurt,,,LAMPS,true,Title,Default Title,,,,,,,,,0.0,,0,continue,manual,99.95,244.95,true,true,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/6_ab30cdb8-b9c2-4068-8ef9-927afd8d9e3b.png?v=1787063184,1,,false,,,,,,,,,,,,,,,,,,,,kg,,,active
solina-faszinierende-led-tischlampe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/63_f4100dcb-ae3c-431c-af92-d219aab4ce25.png?v=1787063184,2,,,,,,,,,,,,,,,,,,,,,,,,,
solina-faszinierende-led-tischlampe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1059/9569/8513/files/37_183ad129-49b4-4366-a1d0-0fd653686c71.png?v=1787063184,3,,,,,,,,,,,,,,,,,,,,,,,,,
